cocktailId,cocktailName
0,La Madrugada
1,Clear Intentions
2,Maraschino Side Car
3,Negroni
4,Basilway Daquiri
5,Champs Élysées
6,The Cliffdiver
7,Endless Summer
8,Vida Verde (Adapted)
9,Passion Fruit Batida
10,Plum Loco
11,Cherry Old Fashioned
12,Doitashimashie
13,Chilli Vanilli
14,Hidarite
15,The Hollinger Manhattan
16,Divine Aspect
17,Japonais No.3
18,50/50 Split
19,Iron Fist in a Velvet Glove
20,Pink & Black
21,Speyside Orchard
22,Amaretto Sour (Modern)
23,Astoria
24,Second City Sour
25,Doctor's Orders
26,Speyside Highball
27,Luxardo Sling
28,Bloody Fernet
29,White Lady (Classic) (Adapted)
30,Martinez
31,The Cappa
32,Simply Perfecto
33,Lost at Sea
34,The King Merlet Sidecar
35,A Bloody Shame
36,Little Ground Tapper
37,The House of Duncan
38,I'm Only Happy when it Rains
39,Sidecar
40,On the Flipside
41,Mauritian Sunrise
42,Opaka Raka
43,Irish Goodbye
44,Phad Thai
45,Floral Summer
46,Mother Superior
47,Mayan Sacrifice Champagne Cocktail
48,King's Medicine
49,The Cavalier White Lady
50,The King's Autumn Cobbler
51,El Mustavo
52,Spice and Stormy
53,Venetian
54,The King and Tonic
55,Bitter Valencia
56,Pink Punch
57,Wooster 53
58,“Prepare for Destiny! Where’s my Pizza?”
59,Bird to Buck
60,Erasmus' Revenge
61,The Robert Baratheon
62,Rose Sangria
63,Mint Garden
64,The Ginger Royale
65,Vesper's Sister
66,Jack Cherry Sour (2001 Remix)
67,Apple Shrub Spritz
68,Cut To The Chase
69,The Fall 75
70,Toasted Drop
71,Don't Rock the Boat Punch
72,Canary vs. the Coal Mine
73,Last Word
74,II Piacere
75,Gold Rush
76,Alaska Cocktail
77,Assemble Mule
78,Happiness
79,Creek Ran Dry
80,Nikka Earl Grey
81,San Francisco Strong (Skrong)
82,Sage & Sound
83,PDA
84,Lovage In The Garden
85,The Seniorita
86,Green and Gold
87,The Queen's A Redhead
88,The Royal Buck
89,Orange Crush
90,Bakko & Zengo
91,Jammie Dodger Fizz
92,Karlsson's Old Fashioned
93,Vintage Reserve Sour
94,Mayahuel's Revenge
95,Kiss
96,Hanny's Hot Apple Toddy
97,Gin Made Me Do It
98,The Claridge
99,Cherry Orchard
100,See ya Amaro!
101,Frisco San
102,Temple of the Moon
103,Short Round II
104,Golden Gun
105,The King's Spring Daisy
106,Mauritian Buck
107,Luxardo Fresco
108,Big and Bright
109,Cove
110,Scotch Joplin
111,La Capilla
112,Château Montifaud on Mint
113,Mack's Apple
114,Pisco Punch
115,Round Pond Aperitif
116,Ginger Pigeon
117,Hotaling Old Tom Gin
118,Rx Hot Toddy
119,Creole Cobbler
120,The Last Marasca
121,Bon Voyage Pisco Punch
122,Julia's Child
123,Duke's Classic Dry Martini
124,The Sixth Sense
125,Slow Ride
126,Orchard Malt Mule
127,War of the Roses
128,White Tie
129,Nick & Janae
130,Hophead Old Fashioned
131,The Nutty Sensation
132,Parisian Manhattan
133,Neighborhood Negroni
134,Mezcal Coffee Old Fashioned
135,Vieja Moda
136,The Negroni Bianco
137,Barrel Aged Ginger Negroni
138,Sloe & Steady
139,La La Land
140,Nola '75
141,Amaretto Sour BV-Style
142,Rothes Roy
143,Mexico Mule
144,Iron Tonic
145,Local Edition Punch
146,A Gift from Zara
147,Château Montifaud Lady Touch Triple Sec
148,Honey Basil Smash
149,Yawkey Way 
150,La Batida Loca
151,Junipero Jolly
152,Basil Gin and Tonic
153,Huntsman
154,Arapa Cocktail
155,Kentucky Mai Tai
156,Under the Sun
157,Citrus Agave Caipirinha
158,Hopped-Up Mary
159,Caipirinha
160,Pisco Punch (Adaptation by The Comstock Saloon)
161,My Spicy Valentine
162,Improved Whisky Cocktail
163,Karlsson's Winter Punch
164,Prickly Pear Margarita
165,Swedish Nightingale
166,Kir
167,Flip and Flight
168,Bajo Control
169,Amaretto Bourbon Punch
170,P.T. Barnum Cocktail
171,Northern Hemisphere (Nikka 12 Edition)
172,Marchesa
173,The Bittered Valley
174,The Commissioner's Trophy #3
175,Monkey Gland
176,Southside Fizz
177,Pants off Dance off
178,Andy Warhol
179,Brazilian Mai Tai
180,Apricot Blush
181,Harms' Way
182,Roasted Cherry Colada
183,Mille Miglia
184,Pisco Sour
185,Ypioca Yellow Card
186,3 & Tree 
187,The Reserved King
188,Aviation (Adapted)
189,Scottish Fruit Tart
190,Santa Patricia
191,On the Wings of Eagles
192,Ritz Cocktail
193,Flip the Bird
194,Brisa del Sur
195,You Bet Your Ascot
196,Luxardo Sour
197,The No.3 Winter Punch
198,Singapore Sling (1915 Recipe)
199,Eden's Apple
200,Morlacco Julep
201,Heart Breaker
202,The Happy Place
203,Orange Batida
204,Japanese Cocktail
205,Potrero Hill
206,Brazilian Mule Punch
207,Gold Spritz
208,Rothes Julep
209,In HINEsight
210,Just Beet It
211,"Amaretto Jello Shot, Why Not"
212,Three Flips
213,The King's Egg Nog
214,Mayan Mule
215,Port's North Fogcutter Cup
216,Dry Mauritian Sour
217,The Sparkler
218,Donaji
219,White Walker Flip
220,The Naughty & Nice
221,Mexican Sazerac
222,Flamenco
223,Rita's Song
224,Jamaica Paloma
225,Winter Season
226,T&T
227,Vesper
228,A Love Song
229,Angel Face (Classic)
230,Virgil St.
231,Stone Fruit Patch V1
232,Nikka Coffey Grain Perfect Manhattan
233,The Mayan Premonition
234,Buccaneer
235,Trato Hecho
236,IPA Mule
237,Smashing Great Pumpkins
238,Swedish Royal
239,Cullerton Street
240,Bushido Cocktail
241,The Lady Whisper
242,Desmond's Choice
243,The King's Medicine
244,The Swedish
245,Division Bell
246,Buzzard's Bay
247,No3
