recipeId,cocktailId,bartender,company,location,glasswareId,instruction,votes,rating
0,379,Kelly McCarthy,,Boston,0,"*Hibiscus Simple Syrup:
1:1 w/ a cup of dried hibiscus steeping for 30-40 min",0,0
1,202,Elizabeth Montana,Forgery & Verso,San Francisco,0,"*House-made Cranberry syrup: 
-- 2 cups Fresh Cranberries
-- 1 cup Sugar
-- 1 cup Water
-- 2 Bay Leaves
-- .25 cup Pink Peppercorns
-- Half Serrano Chile
-- 4 Sprigs Fresh Rosemary

Add all ingredients to a pot and heat thoroughly. Simmer on low until cranberries cook down for 25 minutes. Strain and let cool.",0,0
2,121,Jon Morales,,San Francisco,5,"*Pineapple Gomme: 
Mix equal parts (1.5 cups) gum arabic with water over high heat until it all mixes and then let cool for a bit. Then you're gonna make a sugar syrup with 2 parts sugar, 1 part water (4 cups water, 2 cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter. Then cut up 1.5 cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night. A few hours would work also if you don't have that much time. However, the more time, the more pineapple infusion takes place. When it's ready, strain into another mason jar or bottle, and it's ready to go.",0,0
3,664,Daniel Braganca,Backbar,Somerville,0,"*Pineapple Syrup:
<em>Equal parts pineapple blended with water and sugar and strained</em>",0,0
4,173,Nik Virrey,,Seattle,0,"1st glass ingredients:
Luxardo Maraschino, Acid Phosphate

2nd glass ingredients:
BarSol Quebranta Pisco, Luxardo Amaro Abano, Luxardo Fernet, Scrappy's Aromatic Bitters",0,0
5,644,Kevin Diedrich,Pacific Cocktail Haven,San Francisco,43,"Add 6-8 sugar snap peas to cocktail shaker. Lightly muddle the peas. Add all other ingredients except for the tonic. Shake and double strain into a collins glass. Top with tonic. 

*House-made Simple Syrup: 
-- 1 cup Sugar
-- 1 cup Water

Add equal parts sugar and water into a small saucepan, bring to a boil; simmer until the sugar is dissolved, approximately 3 minutes. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",0,0
6,362,Phillip Ricafort,American Oak,Alameda,3,"Add all ingredients and dry-shake (without ice), then add ice, and shake again. Strain into coupe and garnish with rhubarb bitters.",0,0
7,236,Jon Ruiz,AMK Kitchen Bar,Chicago,51,"Add all ingredients except beer into shaker tin, shake vigorously for 10 seconds. Add beer in shaker tin then double strain into tin cup. Add mint for garish.",0,0
8,192,Dale DeGroff,,,56,"Add all ingredients except the champagne to a mixing glass and fill with ice. Stir, and strain into a martini glass. Fill with champagne and garnish with a flamed orange peel.",0,0
9,595,Ian Julian,,New Orleans,40,Add all ingredients except the whip cream and ginger snap. Shake and double into a rocks glass with no ice. Top with marshmallow whip cream. Garnish with Ginger snap crumbles.,0,0
10,78,Danny Louie,Mister Jiu's,San Francisco,3,"Add all ingredients in a cocktail shaker, shake, fine strain into a chilled coupe or martini glass. Garnish with edible flower.

*Jasmine Tea/Rice-Infused Junipero Gin:
-- 1 bottle (750ml) Junípero gin
-- .5 cup Jasmine Tea
-- .5 cup Jasmine Rice (wash rice to eliminate starch)

Sous Vide Version: Wash the jasmine rice to clean out the starch. Fill container with hot water. Set sous vide at 52c. Add vacuum seal bag with jasmine tea/rice in bath. Let sit in bath for 45 minutes. Take the bag out of bath and sit it in ice bath for 15 minutes. Open bag and fine strain back into bottle.

Infusion Version: Wash the jasmine rice to clean out the starch. In a cambro/mason jar, add Junípero gin and jasmine tea and rice. Let infuse for 24 hours. Fine strain into bottle.

**House-made Honey Syrup: 

Put equal parts of honey (10 oz) and water (10 oz) in a saucepan. Boil, then turn down to a simmer and stir until the honey is completely dissolved.",0,0
11,512,Ken Luciano,The Forgery,San Francisco,35,Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.,0,0
12,562,Caterina Miltenberger,,,35,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.,0,0
13,183,Caterina Miltenberger,,,35,"Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.
",0,0
14,646,Caterina Miltenberger,,,35,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with orange slice and 1 bar spoon juniper berries.,0,0
15,321,Caterina Miltenberger,,,0,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain over fresh ice. Garnish with Luxardo Cherry.,0,0
16,437,Jose Pereiro,Drift Fish House & Oyster Bar,Atlanta,12,"Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin.",0,0
17,105,,,,0,Add all ingredients into a cocktail shaker. Shake and double strain into a glass. Garnish with a sprig of mint.,0,0
18,428,,,,5,Add all ingredients into a punch bowl or pitcher and stir. Add lemon wheels and strawberries to garnish.,0,0
19,127,Kevin Diedrich,,,40,Add all ingredients into a punch bowl. Serve in small rocks glasses.,0,0
20,243,Matt Grippo,Blackbird,San Francisco,3,"Add all ingredients into a shaker with ice, shake furiously. Fine strain into chilled coupe. Garnish with a lemon twist.",0,0
21,442,Kate KaiKaew,Osha,San Francisco,40,Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,0,0
22,551,Elmer Mejicano,Tony's Pizza Napoletana,San Francisco,43,"Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves.",0,0
23,461,Kate Grutman,,,3,"Add all ingredients into shaking tin. Add ice cubes to tin. Shake vigorously and strain into coupe. Garnish with Luxardo Maraschino Cherry.
",0,0
24,50,,,,0,Add all ingredients over ice. Stir with a barspoon. Squeeze lemon wedges and add blackberries.,0,0
25,452,,,,36,"Add all ingredients to a mixing glass and stir for 15-20 seconds. Strain into a highball filled with fresh ice.
",0,0
26,61,,,,3,Add all ingredients to a mixing glass filled with ice. Stir until cold and strain into a chilled coupe.,0,0
27,482,Naomi Levy,Eastern Standard,Boston,36,Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.,0,0
28,287,Chris Morris,,Houston,35,Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.,0,0
29,505,Toby Cecchini,,,47,Add all ingredients to a shaker and fill with ice. Shake vigorously and strain into chilled stemmed cordial glass. Garnish with cocktail cherry and lemon twist.,0,0
30,30,,,,3,"Add all ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass.",0,0
31,141,Scott Baird,The Bon Vivants,San Francisco,3,Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,0,0
32,122,Calvin Marty,Best Intentions,Chicago,13,"Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. Garnish with a celery leaf.",0,0
33,323,,,,56,"Add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a Luxardo Cherry.",0,0
34,645,Luis Hernandez,White Oak Tavern,New York,0,Add all ingredients to blender and blend throughly. Double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg.,0,0
35,81,Matt Grippo,Blackbird,San Francisco,13,"Add all ingredients to tin and dry shake. Add ice and vigorously shake for 12 seconds. Fine strain into chilled cocktail glass. Garnish by sprinkling matcha powder (.25 tsp). 

*Rich Simple Syrup: 
-- 2 cups Granulated Sugar
-- 1 cup Water

Combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",0,0
36,427,David Ruiz,Padrecito,San Francisco,0,Add all ingredients together.,0,0
37,114,,,,65,Add all liquid ingredients into a cocktail shaker with ice. Shake well and strain into an ice filled white wine glass. Garnish by adding pineapple chunks and Luxardo Cherry.,0,0
38,150,Paul Sauter,Tippling Hall,Chicago,43,"Add all of the ingredients, except seeds, to a shaker with ice and shake well. Double strain onto fresh ice into a collins glass. Garnish with 1 spoon of passion fruit seeds.

*Pilon Syrup:
Homemade 50/50 simple syrup using Pilon Sugar made from Mexican Sugar Cane.",0,0
39,133,Tony Abou-Ganim,,,13,Add all the ingredients to a mixing glass and fill with ice. Stir until well chilled and strain into a chilled cocktail glass. Garnish with a flamed orange twist.,0,0
40,142,,,,0,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a chilled cocktail glass. Garnish with a Luxardo Cherry.",0,0
41,497,Jay Zimmerman,,,13,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.",0,0
42,95,Brian Miller,,,56,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a martini glass. Garnish with an apple slice.",0,0
43,31,Franky Marshall,,,65,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a small wine or cocktail glass. Twist a slice of lemon peel over the drink and use as garnish.",0,0
44,312,Jared Schubert,,,10,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into an old fashioned glass filled with fresh ice. Garnish with a Luxardo Cherry and an orange slice or twist.",0,0
45,578,Jim Meehan,,,3,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass filled with crushed ice.",0,0
46,235,Phil Ward,,,3,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a coupe glass.

*Pineapple-Infused Mezcal:
Peel, core and chop a whole pineapple into 1-inch cubes. Add to a large jar or other container with a lid, and add a 750-mL bottle of mezcal. Let stand for 5 days and strain before using.",0,0
47,129,David Ruiz,Harper & Rye,San Francisco,3,"Add cognac, amaro, lemon, strawberry syrup and fresh cracked egg white of a whole egg to tin. Dry shake without ice approx. 5 seconds to emulsify. Add ice and shake hard again approx. 10 seconds. Fine strain into coupe. Crack drag black pepper over surface. Serve and enjoy.

*Strawberry syrup- 1 cup fresh strawberries 1 cup water 1cup sugar. Blend in vitamix then heat on stove and stir until hot to bind sugars, don't boil. Bottle and refrigerate.",0,0
48,191,Matthew Polzin,The Olde Bar,Philadelphia,40,"Add cognac, rye, Chartreuse and bitters to a mixing glass with ice, and stir until cold. Add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess. Add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig.",0,0
49,415,Ryan Chetiyawardana,,,36,"Add cubed ice to a highball, add 2 dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil.",0,0
50,663,,,,0,Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.,0,0
51,662,,,,43,"Add gin, lemon juice, maraschino liqueur, and liqueur de violette to a collins glass filled with ice. Add tonic water; stir to combine. Garnish with a lemon wheel.",0,0
52,2,Caterina Miltenberger,,,0,"Add ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with lemon peel to fit in glass and 1 dash of Abbott's Aromatic Bitters. Optional sugar rim.
",0,0
53,88,,,,43,"Add ingredients to a mixing glass except club soda. Shake over ice, strain over ice into a collins glass, top with club soda. Garnish with a lemon wedge and candied ginger on a pick.",0,0
54,118,Christopher Buono,Walter Foods,Brooklyn,2,"Add ingredients to a mug and stir.

*Honey-Ginger Syrup:
Combine 1 part ginger with 2 parts honey and 1 cup of water and boil. Reduce heat and simmer for 5 mins. Strain and discard solids.

**Ghost-Pepper-Infused Campari:
Soak 1 ghost pepper in a 16 oz. bottle of Campari for up to 24 hrs (reduce infusion time to reduce heat).

***Cinnamon Tincture:
Soak 3 cinnamon sticks in 16 oz. of any neutral grain alcohol that is high proof (regular 80-proof vodka is great) for up to 14 days. Strain and discard the sticks.",0,0
55,469,Natasha Bahrami,The Gin Room,St. Louis,9,"Add Junipero Gin and botanicals first. Add ice and follow with a bold tonic. Top with additional botanicals/garnish for presentation.

*Assorted Complementing Botanicals: Orange, Star Anise, Rose Petals, Italian Juniper",0,0
56,617,,,,36,Add pisco and lime juice into a highball glass filled with ice. Pour ginger ale into the glass to top. Add 2-3 drops of bitters. Garnish with lime wheel.,0,0
57,330,,,,0,"Add room temperature Creme de Cassis to the glass first, followed by the Champagne.",0,0
58,166,,,,0,"Add room temperature Creme de Cassis to the glass first, followed by the wine.",0,0
59,157,,,,53,"Add soda to bucket first, then add spirits and mixers. Top with ice and garnish.",0,0
60,410,,,,43,Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).,0,0
61,522,,,,60,"Add the Cherry Liqueur to a flute, top with Prosecco, and garnish with a Luxardo Maraschino Cherry.",0,0
62,432,Jim Meehan,PDT ,New York,0,"Add the cucumber, mint and simple syrup to a mixing glass and muddle. Add everything else, then shake with ice and strain into a Collins glass filled with ice. Garnish with a mint sprig poking through a cucumber wheel.",0,0
63,296,,,,8,"Add vodka and lime juice to drinking glass, add ice, and top with ginger beer. Garnish with a lime.",0,0
64,79,Brian Means,Dirty Habit,San Francisco,3,"Barrel aged for 5 months in a used bourbon barrel.

Stir with ice and strain into a small coupe. Garnish with an orange twist.",0,0
65,485,Brian Means,Dirty Habit,San Francisco,3,"Barrel aged in a used bourbon barrel that previously held a cocktail containing Hine Cognac and Luxardo Bitter.

Stir with ice and strain into a small coupe. Garnish with an orange twist.",0,0
66,346,Morgan Schick,Bon Vivants,,40,Blend with ice.,0,0
67,460,Jourdan Reinhart,,San Francisco,21,"Boil water in a tea kettle. 

Squeeze lemon slice into the mug. Insert whole cloves into the lemon slice and drop it into the mug.",0,0
68,374,Kate Grutman,,,60,Brown sugar cube soaked in Peychaud’s Bitters. Put soaked sugar cube in glass first. Pour .75 oz Pink Pigeon rum into flute over sugar cube. Fill remainder of the glass with champagne. Garnish with lemon twist.,0,0
69,103,Brian Means,Dirty Habit,San Francisco,17,Build & Stir. Hoshizaki Ice.,0,0
70,146,Rebecca Burkart,,Houston,65,Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.,0,0
71,97,Karri Cormican,Wildhawk,San Francisco,56,"Build all ingredients in a mixing glass, add ice and stir. Strain into a chilled martini glass and garnish with fresh fennel flowers.",0,0
72,280,Linda Salinas,,Houston,3,Build all ingredients in a mixing glass. Stir with ice and strain into coupe. Garnish with grapefruit peel.,0,0
73,380,,Dirty Habit,San Francisco,5,"Build all ingredients in a punch bowl and add ice, stir gently. Garnish with seasonal fruit and citrus wheels.",0,0
74,185,Scott Brody,Presidio Social Club,San Francisco,36,Build all into highball. Fill with ice. Top with soda water. Place pineapple leaf vertically in the glass.,0,0
75,246,Morgan Schick,Bon Vivants,,40,Build and pour in punch bowl over large ice block.,0,0
76,620,,,,60,Build and serve in a champagne flute.,0,0
77,480,Ken Luciano,The Forgery,San Francisco,0,"Build cocktail in glass, add ice and stir. Garnish with rose petal.",0,0
78,669,,,,0,Build in a glass over ice. Add lemon wheels and strawberries. Finish with a splash of fresh lemon or top up with some sparkling wine. This drink can also be made in jugs or punch bowls.,0,0
79,316,,,,3,"Build in a large pitcher or punchbowl. Combine Pink Pigeon Rum, juice from 2 lemons and agave. Blend 7 oz. of fresh watermelon in a blender and puree to mixture. Add a generous amount of ice and stir. Top with ginger beer. Ladle or pour into coupe glasses.",0,0
80,385,,Dirty Habit,San Francisco,43,"Build in a mixing glass and add ice. Slowly pour back and forth between two tins, about 4-6 times. Then dump the whole cocktail into a Fizz or Collins glass.",0,0
81,55,Justin Ware,,Houston,35,"Build in a mixing glass. Add ice. Stir to dilute. Strain into a Nick & Nora glass. Garnish with an orange twist.

*Clarified Milk:
-- 1 C Whole Milk
-- .5 oz Lemon Juice

Heat milk to just before a simmer, then add lemon juice. Lightly stir to break the solid from the whey. Let chill for 5 mins to allow the solids to properly separate. Coffee strain twice for clarity.",0,0
