compositionId,recipeId,quantity,unit,ingredientId
0,0,1.5,oz,627
1,0,1,oz,265
2,0,.5,oz,340
3,0,,,854
4,1,2,oz,494
5,1,.75,oz,1184
6,1,.5,oz,827
7,1,.5,oz,843
8,1,.25,oz,269
9,1,4,dash,266
10,1,,,782
11,2,1500,ml,594
12,2,750,ml,827
13,2,750,ml,913
14,2,.5,oz,1168
15,2,1,,1101
16,3,1.5,oz,984
17,3,.75,oz,521
18,3,.5,oz,296
19,3,.25,oz,190
20,3,1,bsp,620
21,4,1.25,oz,1078
22,4,4,drops,240
23,4,2,oz,984
24,4,.75,oz,424
25,4,.25,oz,217
26,4,3,dash,712
27,5,1,oz,494
28,5,1,oz,604
29,5,1,oz,701
30,5,.75,oz,827
31,5,2,dash,500
32,5,6-8,,445
33,5,,,60
34,6,2,oz,1194
35,6,1,oz,166
36,6,.5,oz,1208
37,6,.5,oz,656
38,6,.5,oz,86
39,7,1.5,oz,298
40,7,.5,oz,575
41,7,.75,oz,340
42,7,.5,oz,990
43,7,2,count,579
44,8,.75,oz,545
45,8,.5,oz,121
46,8,.25,oz,1078
47,8,.25,oz,166
48,8,3,oz,611
49,9,1,oz,1076
50,9,1.5,oz,368
51,9,.75,oz,895
52,9,,,682
53,9,,,957
54,10,1.5,oz,1055
55,10,.75,oz,728
56,10,.75,oz,13
57,10,.5,oz,135
58,10,.25,oz,363
59,11,1.5,oz,627
60,11,.25,oz,1006
61,11,.75,oz,79
62,11,2,dash,873
63,12,1.5,oz,494
64,12,.75,oz,832
65,12,.5,oz,75
66,12,6-7,,1154
67,12,.5,oz,310
68,12,1,oz,321
69,13,.75,oz,1078
70,13,.5,oz,1208
71,13,1,,23
72,13,.25,oz,340
73,13,5,dash,842
74,14,1.5,oz,494
75,14,1,oz,857
76,14,.5,oz,1081
77,14,.25,oz,1047
78,15,.75,oz,1078
79,15,.5,oz,494
80,15,.75,oz,1
81,15,.25,oz,827
82,15,1,dash,467
83,16,.75,oz,711
84,16,.75,oz,402
85,16,.75,oz,402
86,16,.75,oz,424
87,17,1,oz,1076
88,17,1,oz,398
89,17,.25,oz,907
90,17,.25,oz,646
91,17,2,dash,889
92,18,25,oz,1076
93,18,37.5,oz,843
94,18,37.5,oz,805
95,19,.75,c,494
96,19,.75,c,615
97,19,.5,c,827
98,19,.5,c,884
99,19,4,dash,1151
100,19,1,bottle,18
101,20,1.5,oz,1076
102,20,.5,oz,217
103,20,.25,oz,679
104,20,.75,oz,827
105,21,1.5,oz,550
106,21,.5,oz,1027
107,21,.5,oz,549
108,21,.5,oz,907
109,21,1,oz,996
110,21,3,dash,539
111,22,,,882
112,22,,,80
113,22,,,1086
114,22,,,929
115,22,,,783
116,23,1.5,oz,550
117,23,.5,oz,1078
118,23,.75,oz,967
119,23,.5,oz,397
120,23,.5,oz,532
121,24,1,oz,1076
122,24,.25,oz,187
123,24,,,365
124,25,2,oz,262
125,25,1,oz,1076
126,25,.25,oz,249
127,25,1,dash,1151
128,26,2,oz,1097
129,26,.25,oz,521
130,26,.25,oz,1078
131,26,2,dash,1151
132,27,1,oz,403
133,27,.5,oz,827
134,27,.5,oz,1081
135,27,.5,oz,397
136,27,,,554
137,28,1.5,oz,79
138,28,1,oz,556
139,28,.25,oz,30
140,28,1,dash,976
141,28,1,dash,969
142,29,1.5,oz,398
143,29,.5,oz,174
144,29,.5,oz,290
145,29,.375,oz,163
146,29,.375,oz,827
147,30,1.5,oz,470
148,30,1.5,oz,1124
149,30,.25,oz,1078
150,30,2,dash,757
151,31,1.5,oz,1027
152,31,.5,oz,1194
153,31,.5,oz,200
154,31,.75,oz,832
155,31,.75,oz,350
156,31,2,dash,1151
157,32,1,oz,408
158,32,1,oz,98
159,32,2,oz,533
160,32,.5,oz,166
161,32,.75,oz,397
162,32,3,dash,952
163,32,1,dash,1151
164,33,2,oz,1076
165,33,.75,oz,827
166,33,.75,oz,397
167,34,2,oz,291
168,34,1.5,oz,544
169,34,1,oz,1072
170,34,.25,oz,970
171,35,.75,oz,494
172,35,.75,oz,201
173,35,.75,oz,79
174,35,.75,oz,827
175,35,.75,oz,411
176,35,.5,oz,817
177,36,1,oz,904
178,36,.5,oz,1076
179,36,.5,oz,8
180,36,.75,oz,13
181,36,1,dash,1151
182,36,1,dash,692
183,37,2,oz,594
184,37,2,oz,832
185,37,1,oz,967
186,37,1,oz,397
187,38,2,oz,291
188,38,1.5,oz,277
189,38,1,oz,41
190,38,.5,oz,541
191,39,1,oz,494
192,39,1,oz,624
193,39,1,oz,1124
194,40,2,oz,262
195,40,.75,oz,1124
196,40,3,dash,1151
197,41,1,oz,653
198,41,1,oz,59
199,41,1,oz,860
200,42,2,oz,977
201,42,.75,oz,573
202,42,.75,oz,174
203,42,.25,oz,1078
204,43,1.5,oz,977
205,43,1.5,oz,816
206,43,.5,oz,1078
207,44,2,oz,1194
208,44,.25,oz,1078
209,44,.5,oz,397
210,44,1,dash,1151
211,44,1,dash,620
212,45,2,oz,658
213,45,.75,oz,967
214,45,.5,oz,532
215,45,.5,oz,1078
216,45,1,tsp,620
217,46,.75,oz,388
218,46,.75,oz,2
219,46,.75,oz,1078
220,46,.75,oz,340
221,47,1.5,oz,398
222,47,.5,oz,424
223,47,.75,oz,166
224,47,.75,oz,1046
225,47,.5,oz,86
226,48,1.5,oz,398
227,48,.75,oz,317
228,48,.75,oz,2
229,48,2,dash,475
230,48,1,splash,812
231,49,40,ml,550
232,49,2,dash,1151
233,49,,,758
234,50,2,oz,550
235,50,1.5,oz,254
236,50,.25,oz,646
237,50,,,887
238,50,1,,689
239,51,1.5,oz,494
240,51,.5,oz,827
241,51,.25,oz,1078
242,51,.25,oz,1215
243,51,3-4,oz,590
244,52,.75,oz,1078
245,52,.25,oz,1047
246,52,.5,oz,62
247,52,.25,oz,827
248,53,1,oz,653
249,53,1,oz,1076
250,53,.75,oz,907
251,53,.5,oz,646
252,53,2,oz,1187
253,54,1.5,oz,912
254,54,.5,oz,827
255,54,2,oz,366
256,54,2,oz,785
257,54,.5,oz,145
258,54,1,tsp,596
259,54,3,dash,981
260,55,1.5,oz,494
261,55,2,oz,32
262,55,,,185
263,56,2,oz,945
264,56,.5,oz,967
265,56,2-3,drops,1151
266,56,,,29
267,57,1,part,104
268,57,4,part,385
269,58,1,part,104
270,58,4,part,616
271,59,1.5,oz,222
272,59,1.5,oz,1016
273,59,1,splash,855
274,60,1,oz,808
275,60,1,oz,781
276,60,1,oz,1137
277,60,2,dash,412
278,60,3,oz,966
279,61,1,oz,1208
280,61,4,oz,313
281,62,1.5,oz,398
282,62,1,oz,207
283,62,.75,oz,311
284,62,.75,oz,646
285,62,.25,oz,752
286,62,3,,159
287,62,8,,958
288,62,1,,514
289,63,1.5,oz,98
290,63,.25,oz,311
291,63,3,oz,232
292,64,1,oz,1000
293,64,1,oz,521
294,64,.5,oz,162
295,64,.5,oz,741
296,65,1.5,oz,984
297,65,1,oz,441
298,65,.25,oz,292
299,65,.25,oz,155
300,65,,,353
301,66,1.5,oz,547
302,66,.25,oz,476
303,66,.5,oz,446
304,66,.75,oz,410
305,66,2,oz,113
306,66,.5,oz,600
307,66,.5,oz,340
308,67,2,oz,785
309,67,2,oz,872
310,67,1,oz,1076
311,67,1,dash,504
312,68,1,cube,258
313,68,,,756
314,68,.75,oz,550
315,68,,,139
316,69,2,oz,642
317,69,2,oz,24
318,69,3,oz,241
319,69,2,oz,340
320,69,1,oz,399
321,69,2,oz,397
322,70,1.5,oz,79
323,70,.75,oz,625
324,70,.75,oz,1087
325,70,2,dash,108
326,70,4,drops,335
327,70,2.5,oz,386
328,71,1,oz,494
329,71,1,oz,615
330,71,1,oz,275
331,71,2,dash,1151
332,71,1,dash,152
333,72,.75,oz,79
334,72,1,oz,494
335,72,.75,oz,521
336,72,.5,oz,157
337,72,2,dash,1068
338,73,5,oz,24
339,73,4,oz,162
340,73,3.5,oz,827
341,73,3.5,oz,155
342,74,1.5,oz,291
343,74,.5,oz,1076
344,74,1,oz,832
345,74,.5,oz,397
346,74,2,oz,637
347,74,1,,114
348,75,2,part,653
349,75,.5,part,946
350,75,.25,part,217
351,75,.5,part,311
352,75,1.5,part,923
353,76,,,1192
354,76,,,120
355,76,,,80
356,76,,,963
357,76,,,355
358,77,1,oz,79
359,77,1,oz,269
360,77,1,oz,653
