garnishId,garnishName
0,Lime
1,Thyme Sprig
2,Basil Leaf
3,Lemon
4,Shaved Cinnamon
5,Apple Fan
6,Apple slices (sliced very thin)
7,Olive
8,Birch Smoked Sea Salt Rim
9,Cocktail Shrimp
10,Lime or Lemon Wedge
11,Half Orange Wheel
12,Physalis(aka goose berry)
13,Top with brine foam (optional)
14,Lime Pinwheel
15,Sliced Almonds
16,Cherry Tree Blossom
17,Straw
18,Lemon wheels
19,Burnt orange
20,Mint Sprig
21,Strawberries
22,Lime Zest
23,Lemon Pigtail
24,Mint Leaf
25,Fresh Blackberries
26,Sweet Paprika
27,Pineapple
28,Pineapple Leaf
29,Orange slices
30,lime wheel
31,Jalapeños
32,Cinnamon (Grated)
33,Cocktail Onions
34,Marigold Flower
35,Red Delicious Apple Slice
36,Cucumber
37,Dukes Lemon Zest
38,Orange Peel Zest
39,Lemon twist
40,Ginger
41,Fresh English Mint
42,Lemon peel
43,Dehydrated Grapefruit Wheel
44,Lime Peel
45,Cucumber wheels
46,Grapfruit peel
47,King's Ginger-Infused Apple Wheels
48,Dukes Orange Twist
49,Licorice root
50,Matcha Powder
51,Grapefruit Twist
52,Lemon or Orange Peel
53,Watermelon Wedge
54,Orange wheel
55,Lime Squeeze
56,Lemongrass Slices
57,Rose Petal
58,Dehydrated Lemon Wheel
59,Coconut flakes
60,Assorted Complementing Botanicals
61,Fresh Basil Leaves
62,Grapefruit spiral
63,Flamed Orange Twist
64,shaved
65,Fresh Grapefruit Slice
66,Candied Ginger Stick
67,Rosemary
68,Blackberry or Mint
69,Salted starfruit
70,Cucumber slices
71,Fresh Orange Wheels
72,Lemon Peel Twist
73,3 Cherries Picked 
74,Orange peel
75,Blueberries
76,Thyme sprig
77,Pomegranate seeds
78,Fresh Root Ginger Slice
79,Sliver of Cinnamon-Candied Ginger
80,Jalapeño slice
81,Strawberry
82,Fukujinzuke Spray
83,Salt
84,Dukes Grapefruit Zest
85,Ground pistachios
86,Bow Tie Orange Peel
87,Fresh Nutmeg
88,Orange zest
89,Lovage Sprig
90,Cardamom
91,Salted Pistachio
92,Apple Slices
93,Edible Flower
94,Orange twist
95,Seaweed
96,(see instructions)
97,Granny Smith Apple Fan
98,Long orange peel studded with cloves
99,Blood orange wheel
100,Basil Sprig
101,Abbott's Aromatic Bitters
102,Blood orange slice
103,Nutmeg
104,Grapefruit Zest
105,Basil
106,Mint
107,Grated Nutmeg
108,Citrus Wheels
109,Lemon verbena sprig
110,Stuffed Castelvetrano Olive
111,Fresh mint sprig
112,Lemon Spiral
113,Apple slice
114,Toasted Marshmallow
115,Lemon Expression
116,Cinnamon sugar rim
117,Lemons and Oranges
118,Cardamom Sugar
119,Black olive
120,Fresh lychee
121,Lemon verbana
122,Cucumber Peel
123,Roasted Cherry
124,Lavendar Blossom
125,Cucumber wheel
126,Orange Oil
127,Pear Slice
128,2 Cherries
129,Fresh watermelon
130,Lime Peel Twist
131,Dried Apricot
132,Grapefruit Slice
133,Apple Slice
134,Edible Flowers
135,Chapuline
136,Small grind of black pepper
137,Apple
138,Fresh Ginger Slice
139,Maldon Sea Salt
140,Marigold Petals
141,Torched rosemary sprig
142,Small Rose
143,Lime wheel
144,Small Flowers
145,Sprig of mint
146,Mint sprig
147,Flamed Orange Peel
148,Cinnamon stick
149,Lime Flower
150,Cinnamon Stick
151,Carrot Ribbon
152,Pink Bendy Straw
153,Pansy Petal
154,Blackberry
155,Fresh Fennel Flowers
156,Grapefruit peel
157,Brown sugar rim
158,Infused Olive & Cherry
159,Cherry Flag
160,Lemon Wheel
161,Pickled Strawberry or Fresh Strawberry
162,Dried peach
163,Freshly Grated Cinnamon
164,Lemon zest
165,Macadamia nut
166,Juniper Berries
167,Lemon Twist
168,Superfine White Sugar
169,Raspberry
170,Concord grapes
171,Fresh Cinnamon (Grated)
172,Banana Chip
173,Fresh Pineapple Wedge
174,Fresh lemon verbena sprig
175,Dehydrated Orange Wheel
176,Lemon Peel
177,Lemon Peel (Bitter Covered)
178,Cola candied orange peel
179,Cherry
180,Cucumber Slice
181,Orange Skin
182,Fresh Grapefruit Peel
183,Edible Flower Petal
184,Sage Leaf
185,3 Blackberries
186,Edible Orchid
187,Orange wheels studded with cloves
188,Orange Wheel
189,Fresh Grated Nutmeg
190,Luxardo Cherry
191,Lemon Swath
192,Dehydrated Orange
193,Edible flower
194,Fresh Peach Slice
195,Torched Cinnamon Stick
