ingredientId,ingredientName
0,
1,Monin Apple Puree
2,Green Chartreuse
3,Fever-Tree Tonic
4,Almond Cream Soda
5,muddled
6,Funkin Passion Fruit Puree
7,Graham's 20 Year Tawny Port
8,Peach Shrub
9,Celery Bitters
10,Cardamom syrup
11,Fever-Tree Ginger Beer
12,Lemons
13,Lime
14,Fresh Pineapple juice
15,Yuzu-Infused Vieux Pontarlier Absinthe Francaise Superieure
16,Prichard's Lincoln County Lightning
17,Marrakesh Mint Tea
18,Sparkling Rose
19,Nikka Whisky Yoichi Single Malt 15 YO
20,Bar Keep fennel bitters
21,Cold Blue Bottle Coffee
22,Ginger Beer
23,Basil Leaf
24,Bacardi Superior Rum
25,Darjeeling simple syrup
26,Lemon
27,Condensed milk
28,top Prosecco
29,top Ginger Ale
30,Coconut Rum
31,Soda water
32,East Imperial Superior Tonic 
33,Clement Creole Shrubb
34,Raspberry Jello packages
35,Jalapeno stuffed olive
36,El Tesoro Reposado Tequila
37,Earl Grey Syrup
38,White dry white(preferably Sauvignon)
39,Guava Nectar
40,Fresh lime sweet n' sour
41,Passion Fruit (fresh or puree)
42,Vanilla Syrup
43,Gomme syrup
44,Giffard Abricot du Roussillon
45,oz Dehydrated pear slice
46,Rich simple syrup
47,Celery stalk
48,Luxardo Anisette
49,Ginger Ale
50,Egg yolk
51,Pear Bitters
52,Toasted Pecan Syrup
53,Simple Syrup (1.5 : 1)
54,Avua Cachaca Prata
55,Reisetbauer Carrot Eau De Vie
56,Ginger/Cardamom/Honey Syrup
57,Pomegranate Cordial
58,Creole Shrub
59,Applejack
60,top Tonic
61,Snake Oil's House-made Pomegranate Bitters
62,Bourbon Rye
63,Etter Zuger Kirsch
64,Chateau de Montifaud XO Silver
65,Benedictine
66,Blackberries
67,Watermelon
68,large Grapefruit Sorbet
69,Rich Demerara Simple Syrup
70,FAIR Goji Berry Liqueur
71,Pages Elderflower Syrup
72,Giffard Elderflower Liqueur
73,float Sparkling Wine
74,Amaro Nonino Quintessentia
75,Monin Strawberry Puree
76,Nori-Infused Sake
77,top Fever-Tree Mediterranean Tonic Water
78,The Bitter Truth Xocolate Bitters
79,Luxardo Bitter Bianco
80,oz Lemon
81,Bay Leaf Syrup
82,Almond Extract
83,Mint Sprig
84,Caster Sugar
85,Sioux City Sarsparilla Soda
86,Egg White
87,Strawberries
88,zested
89,Sherry
90,Fee Brothers Black Walnut Bitters
91,oz Cinnamon
92,Fee Bros Rhubarb bitters
93,Black Licorice-Infused Angostura Bitters
94,Cocchi Vermouth di Torino
95,Pear flavored Vodka
96,Minta Soda
97,Plantation Pineapple Rum
98,Karlsson's Gold Vodka
99,Bitter
100,Fresh Lemon
101,Citadelle Gin
102,Monin French Raspberry Syrup
103,Lime Sweet n' Sour mix
104,Briottet Creme de Cassis
105,Pineapple
106,Cinnamon Syrup
107,Cloves
108,Citric Acid
109,Molasses
110,top Anchor Christmas Ale 2016
111,Chateau de Montifaud Cognac VS
112,Fresh Coconut Water
113,Horchata
114,fill Soda Water
115,Rhum Agricole-style
116,Compas Box Great King Street Blended Scotch Whisky
117,Krogstad Aquavit
118,Round Pond Meyer Lemon Syrup
119,Glenrothes Bourbon Reserve
120,oz St. Germaine Elderflower Liqueur
121,Cointreau
122,Brandy de Jerez
123,Fentimans Ginger Beer
124,juiced
125,Italian Sparkling Water
126,Light Rum
127,Agave
128,15 YO Sherry
129,Tempus Fugit Gran Classico Bitter
130,Cucumber
131,Dolin Vermouth
132,Fresh lime
133,House-made Spiced Pumpkin Puree
134,Red Wine
135,House-made Honey Syrup
136,House-made Organic Pear Syrup
137,Sugar Syrup
138,Cola
139,fill Champagne
140,few drops Peychaud's Bitters
141,No.3 London Dry Gin or H by HINE
142,Rhubarb Cucumber & Mint-Infused Junipero Gin
143,float Tonic Water
144,Double cream
145,Honey-Ginger Syrup
146,bottle Karlsson's Gold Vodka
147,Demerara Simple Syrup (1:1)
148,Bulleit Rye
149,Fresh pomegranate juice
150,Clover's Gingersnap
151,Wild Turkey 101 Bourbon
152,St. George Absinthe
153,oz Fever Tree Club Soda
154,Yuzu Juice
155,Velvet Falernum
156,fill Club soda
157,Curacao
158,Tomato Juice
159,Cucumber wheels
160,Strega
161,Strawberry-Raspberry Simple Syrup
162,Chateau de Montifaud Pineau des Charentes Blanc
163,Blood Orange Juice
164,Agave Nectar
165,Lemon Verbana Simple
166,Fresh Lemon Juice
167,House-made Apple Pie Bitters
168,Lemon slice
169,Fresh Strawberry Juice w/ Xanthan Gum
170,Momokawa Organic Junmai Ginjo Sake
171,Basil-Infused White Rum
172,Clarified Milk
173,Orange Liqueur
174,Dubonnet Rouge
175,Averna
176,Yuzu
177,Pimms
178,Fresh lemon juice
179,Breck Bourbon
180,Reposado Tequila
181,Bittercube Bitters Jamaican #2
182,The Genuine Curacao Liqueur Clear
183,Lavender bitters
184,7-Spice Syrup
185,Assorted Complementing Botanicals
186,Fresh Basil Leaves
187,Briottet Creme de Mure (Blackberry)
188,D.O.M Benedictine
189,White Rum
190,Pineapple Syrup
191,float Luxardo Amaretto di Saschira
192,Lavender syrup
193,Gooseberry Jam
194,House-made Yellow Shaw-treuse
195,Orgeat Syrup
196,Fresh egg White
197,Seedless Blackberry Jam
198,Lemon Peel (white pith removed and julienned)
199,Thai Basil Syrup
200,Fresh Lime Juice
201,Tempus Fugit Kina L'Aero d'Or
202,Sparkling Water
203,Coco KJ (House-made Coco Lopez)
204,Peach Juice
205,Sherry Vinegar
206,Oatmeal-Infused Karlsson's Gold Vodka
207,House Ginger Beer
208,Orgeat (Almond) Syrup
209,Cucumber slices
210,Cane sugar syrup
211,Lychee
212,Lazzaroni Amaro
213,Orgeat syrup
214,Yogurt Liquor
215,Black Pepper Balsamic Shrub
216,Mendolera
217,Luxardo Fernet
218,Bywater Spice Mix
219,St. Germaine Elderflower Liqueur
220,Orange blossom water
221,Perfect Puree White Peach
222,Ypioca Brasilizar Cachaca Prata Classica
223,Miracle Mile Forbidden Barrel Aged Bitters
224,LemonJuice
225,Pineapple Gum
226,Bay Leaf-Infused Honey Syrup
227,Bittercube cherry bark bitters
228,Salt Tincture
229,Tempus Fugit Alessio Extra Dry Vermouth
230,Calisaya
231,Fresh grapefruit juice
232,Ginger beer
233,Strawberry
234,The Bitter Truth Jerry Thomas Bitters
235,float Gosslings 151 Rum
236,Westland American Single Malt
237,Bittercube Door County Hop Bitters
238,Kosher Salt
239,float Pomegranate liqueur
240,Acid phosphate
241,Chateau de Montifaud Pineau des Charentes Rose
242,Old Overholt Straight Rye Whiskey
243,Smoked Malt
244,Christmas Spirit
245,Coconut Cream
246,Salt
247,Lillet Rose
248,Ancho Reyes Chile Liqueur
249,Honey Syrup
250,Broker's London Dry Gin
251,Fee Brothers Orange Flower Water
252,Pedro Ximenez Sherry
253,Tequila
254,Fresh lime juice
255,Spiced Apricot Syrup
256,oz La Colombe Cold Draft Coffee
257,Olive Juice
258,Brown Sugar
259,Copper & Kings Absinthe
260,La Quintinye Vermouth Rouge
261,Fresh Sage leaves
262,Glenrothes Vintage Reserve
263,Rich Cane Syrup
264,Ancho Reyes Ancho Chile Liqueur
265,Hibiscus Simple Syrup
266,Forgery Earth Day Bitters
267,White Port
268,Old Potrero Straight Rye Whiskey (Toasted Coconut Infused)
269,Lillet Blanc
270,Simple syrup (2:1 sugar water)
271,House-made Rasta Bitters
272,House-made Slivovitz (Plum Brandy)
273,Agave Syrup (1:1 agave to water)
274,beans Cocao beans
275,Vermouth del Professore
276,Peach Puree
277,Sweetened Condensed Milk
278,Fee Brothers Gin Barrel Aged Bitters
279,Luxardo Bitter
280,Pickled okra
281,Ginger-Cinnamon Syrup
282,Coconut Milk
283,Spiced Butter
284,Grapefruit Shrub
285,Watermelon Juice
286,Jamaican Rum
287,Grapefruit flavored Vodka
288,top Apple Cider
289,Kombu tincture
290,Cherry Herring
291,Ypioca Brasilizar Cachaca Prata Reserva Especial
292,Leopold Bros. Bitter
293,Sugar
294,Spiced kuri squash purée
295,Coffee-Infused Lustau East India Solera
296,St. Germain
297,Simple Syrup (equal parts sugar and water)
298,Hophead Vodka
299,Germain-Robin Absinthe
300,Chartreuse
301,Old Fashioned Bitters
302,Cinnamon syrup
303,El Guapo Tonic Bitters
304,Dry Riesling
305,Castilian Tincture
306,Passion Fruit Syrup
307,Ancho Chile-Infused Simple Syrup
308,Hangar 1 Vodka
309,Fever Tree Ginger Beer
310,Lemon Sour
311,Lime juice
312,Chinese Five Spice Bitters
313,Prosecco
314,Tempus Fugit Creme de Cacao
315,Chamomile Tea Syrup
316,float Anchor California Lager
317,Rye Whiskey
318,Rare Wine Co. Charleston Sercial Madeira
319,Fresh mint
320,Pastis Prado
321,Lemon Lime Soda
322,Heavy Cream
323,Alvear PX Sherry
324,Apple & Cinnamon-Infused Karlsson's Gold Vodka
325,top Soda
326,Nutmeg
327,Kiwi
328,White peach puree
329,Apricot-Infused H by HINE
330,Orange liqueur
331,New York Apple Whiskey
332,Rhubarb Juice
333,Basil
334,Bittermens Hellfire Habanero Shrub Bitters
335,Orange Flower Water
