iClassificationId,ingredientId,ingredientTypeId
0,0,22
1,1,16
2,2,8
3,3,33
4,4,7
5,5,16
6,6,8
7,7,8
8,8,19
9,9,13
10,11,39
11,12,8
12,13,16
13,14,13
14,15,9
15,16,39
16,17,19
17,19,16
18,20,17
19,21,35
20,22,31
21,23,39
22,24,13
23,25,13
24,26,13
25,27,7
26,28,16
27,29,19
28,30,8
29,31,17
30,32,27
31,33,33
32,34,3
33,35,8
34,36,29
35,37,16
36,38,6
37,39,26
38,40,5
39,41,8
40,42,16
41,43,18
42,44,14
43,45,35
44,46,35
45,47,8
46,48,2
47,49,5
48,50,12
49,51,36
50,52,0
51,53,7
52,54,7
53,55,31
54,56,34
55,57,16
56,58,13
57,59,22
58,60,28
59,61,13
60,62,12
61,63,7
62,64,8
63,65,29
64,66,5
65,67,31
66,68,33
67,69,35
68,70,29
69,71,5
70,72,8
71,73,33
72,74,7
73,75,31
74,76,8
75,77,35
76,78,35
77,79,7
78,80,29
79,81,8
80,82,13
81,83,15
82,84,15
83,85,15
84,86,13
85,87,5
86,88,14
87,89,8
88,90,16
89,91,13
90,92,5
91,93,8
92,94,34
93,95,7
94,96,19
95,97,8
96,98,7
97,99,13
98,101,5
99,102,13
100,103,9
101,104,8
102,105,15
103,106,35
104,107,18
105,108,8
106,109,8
107,110,13
108,111,7
109,112,34
110,113,5
111,114,16
112,115,27
113,116,15
114,117,35
115,118,8
116,119,16
117,120,8
118,121,5
119,122,0
120,123,21
121,124,3
122,125,5
123,126,16
124,127,13
125,128,9
126,129,19
127,130,35
128,131,13
129,132,35
130,133,8
131,134,8
132,135,16
133,136,11
134,137,13
135,138,19
136,139,12
137,140,13
138,141,12
139,142,14
140,144,29
141,145,8
142,146,8
143,147,7
144,148,18
145,149,35
146,150,13
147,151,35
148,152,3
149,153,8
150,154,8
151,155,6
152,156,13
153,157,7
154,158,32
155,159,27
156,160,8
157,161,16
158,162,13
159,163,13
160,164,5
161,165,8
162,166,16
163,167,35
164,168,29
165,169,0
166,170,16
167,171,7
168,172,19
169,173,13
170,174,8
171,175,6
172,176,16
173,177,9
174,178,5
175,179,29
176,180,34
177,181,13
178,182,13
179,183,39
180,184,8
181,185,8
182,186,16
183,187,35
184,188,0
185,189,29
186,190,16
187,191,7
188,192,35
189,193,18
190,194,3
191,195,18
192,196,13
193,197,7
194,198,29
195,199,29
196,200,7
197,201,19
198,203,35
199,204,7
200,206,35
201,207,3
202,208,35
203,209,16
204,210,13
205,211,17
206,212,15
207,213,8
208,214,8
209,215,35
210,216,17
211,217,22
212,218,35
213,219,35
214,220,8
215,221,14
216,222,13
217,223,8
218,224,16
219,225,6
220,226,14
221,227,9
222,228,35
223,229,13
224,230,13
225,231,15
226,232,13
227,233,7
228,234,15
